seed,epoch,train_loss,validation_accuracy,learning_rate
27,1,2.0153455614301894,0.4166,0.09999383162408304
27,2,1.5309158966064453,0.5046,0.09997532801828658
27,3,1.3056196152369182,0.628,0.09994449374809851
27,4,1.1665791942596435,0.6562,0.09990133642141359
27,5,1.0523603900061713,0.7014,0.09984586668665642
27,6,0.9844584117359585,0.7978,0.09977809823015402
27,7,0.9329234491348266,0.7914,0.09969804777275901
27,8,0.9083157520188225,0.7844,0.09960573506572391
27,9,0.8819502507951524,0.779,0.09950118288582789
27,10,0.8596305670420329,0.801,0.09938441702975691
27,11,0.8476050306532118,0.7944,0.09925546630773871
27,12,0.8375982471466065,0.7752,0.09911436253643445
27,13,0.8268505190213521,0.8116,0.0989611405310883
27,14,0.8199036305109659,0.787,0.09879583809693739
27,15,0.8147513915379843,0.845,0.09861849601988384
27,16,0.7973811275482178,0.8142,0.09842915805643157
27,17,0.7966315643098619,0.826,0.09822787092288993
27,18,0.7891544674767388,0.845,0.09801468428384717
27,19,0.7838042480362786,0.8522,0.09778965073991652
27,20,0.781475406159295,0.8024,0.0975528258147577
27,21,0.7715005326165093,0.8004,0.09730426794137728
27,22,0.7726225806024339,0.8138,0.09704403844771128
27,23,0.7668010381592645,0.8298,0.09677220154149338
27,24,0.762161835193634,0.8234,0.09648882429441258
27,25,0.7608357480367025,0.816,0.09619397662556435
27,26,0.7566174446953667,0.8414,0.09588773128419906
27,27,0.7554613375345866,0.8552,0.09557016383177226
27,28,0.7532043950186835,0.8448,0.09524135262330098
27,29,0.7579066933843824,0.8312,0.09490137878803079
27,30,0.747518398390876,0.851,0.0945503262094184
27,31,0.7456935672971937,0.835,0.0941882815044347
27,32,0.745654035282135,0.856,0.09381533400219319
27,33,0.739334136750963,0.84,0.09343157572190958
27,34,0.7408454154968261,0.8594,0.0930371013501972
27,35,0.7382238041241964,0.8484,0.09263200821770463
27,36,0.7351628959231906,0.8418,0.09221639627510078
27,37,0.7362963736322191,0.873,0.09179036806841355
27,38,0.7316975778473748,0.8588,0.09135402871372812
27,39,0.7354781081729465,0.822,0.0909074858712512
27,40,0.7318992534637451,0.8574,0.09045084971874741
27,41,0.7276560164133707,0.8012,0.08998423292435458
27,42,0.7258590222040813,0.8318,0.08950775061878455
27,43,0.7268309858110216,0.836,0.08902152036691653
27,44,0.7287655148824056,0.8532,0.08852566213878951
27,45,0.7230443256590101,0.7674,0.0880202982800016
27,46,0.7206629979239569,0.8646,0.08750555348152303
27,47,0.7193913146972656,0.8394,0.08698155474893052
27,48,0.7182523108588325,0.8258,0.08644843137107061
27,49,0.7173199643876818,0.8666,0.08590631488815947
27,50,0.7143542563332451,0.8716,0.0853553390593274
27,51,0.7103356543858846,0.8536,0.08479563982961574
27,52,0.7137060519748264,0.8784,0.08422735529643446
27,53,0.7129100643369887,0.8614,0.08365062567548869
27,54,0.7072231683519151,0.8544,0.08306559326618261
27,55,0.7075176123089261,0.8658,0.0824724024165092
27,56,0.7084839626736111,0.8836,0.0818711994874345
27,57,0.705256538274553,0.8572,0.08126213281678528
27,58,0.7037589697943794,0.87,0.08064535268264884
27,59,0.7044606221305,0.827,0.08002101126629421
27,60,0.6982365489429898,0.8616,0.07938926261462367
27,61,0.6972950534820557,0.8616,0.07875026260216395
27,62,0.6984985109541151,0.8626,0.07810416889260656
27,63,0.7000611505296496,0.863,0.07745114089990661
27,64,0.6958183041678535,0.8652,0.07679133974894985
27,65,0.6949353467517428,0.8738,0.07612492823579746
27,66,0.6898450811386109,0.8486,0.07545207078751859
27,67,0.6930832422468397,0.7882,0.0747729334216204
27,68,0.6860878552542793,0.8384,0.07408768370508578
27,69,0.685641121896108,0.871,0.0733964907130287
27,70,0.690269383515252,0.8612,0.07269952498697736
27,71,0.6867440486907959,0.8706,0.07199695849279578
27,72,0.6815472338676453,0.8752,0.07128896457825366
